candidate_id,rank,score,reasoning
CAND_0007411,37,0.8164,Well-suited profile: an experienced Senior Machine Learning Engineer (8.0 yrs) who owned the end-to-end ranking pipeline at a recommendations-heavy in their current role; note: low responsiveness (12%).
CAND_0046064,38,0.8159,"Highly relevant background: background in pinecone, elasticsearch spanning 8.9 years, including their work to fine-tuned llama-2-7b and mistral-7b variants using lora."
CAND_0057529,39,0.8122,"Well-qualified Junior ML Engineer with 6.9 years of experience, showing matching capabilities in nlp."
CAND_0040955,40,0.8116,"Strong candidate: a Junior ML Engineer with 6.6 years of experience, who built nlp pipelines for sentiment analysis and document at Rephrase.ai, though services company background."
CAND_0065195,41,0.8115,Well-qualified candidate showing solid background in elasticsearch from their work at CRED (5.1 yrs).
CAND_0078002,42,0.8104,"Solid fit: features a strong track record as a Machine Learning Engineer (6.3 yrs), having recently trained and shipped multiple ranking models; note: their 60-day notice and consulting background."
CAND_0081563,43,0.8096,"At Dream11, this candidate contributed to ml feature engineering and model deployment; they represent a well-suited ML Engineer with 6.9 years of experience, despite a 60-day notice."
CAND_0088025,44,0.8076,"Strong fit: offers 8.6 years of experience as a Staff Machine Learning Engineer, demonstrating relevant skills in nlp, pinecone; however, a notice period of 90 days and services company background."
CAND_0033861,45,0.8071,"Well-suited profile: an experienced Senior NLP Engineer (8.0 yrs) who fine-tuned llama-2-7b and mistral-7b variants using lora in their current role, though low responsiveness (16%)."
CAND_0084888,46,0.8027,"Highly relevant background: background in applied ML/retrieval spanning 6.8 years, including their work to worked on time-series forecasting models for supply-chain demand, but their 120-day notice."
CAND_0030031,47,0.8017,"Well-qualified AI Engineer with 5.7 years of experience, showing matching capabilities in nlp, vector search."
CAND_0003557,48,0.7987,"Strong candidate: a ML Engineer with 6.8 years of experience, who built recommendation-style features at a mid-stage startup at Krutrim, despite a notice period of 90 days."
CAND_0032887,49,0.7971,"Well-qualified candidate showing solid background in nlp, elasticsearch from their work at Niramai (6.1 yrs)."
CAND_0081053,50,0.7971,"Solid fit: features a strong track record as a NLP Engineer (5.4 yrs), having recently built and operated production ml pipelines using mlflow for experiment tracking, though their 90-day notice."
CAND_0006567,51,0.7962,"At Meta, this candidate built systems that understand what users are looking; they represent a potential Senior AI Engineer with 7.9 years of experience, but a 60-day notice."
CAND_0020877,52,0.7952,"Acceptable candidate: offers 5.1 years of experience as a Applied ML Engineer, demonstrating basic adjacent skills in weaviate, milvus; note: a notice period of 60 days."
CAND_0074735,53,0.7946,"Potential profile: an experienced Applied ML Engineer (5.5 yrs) who implemented a rag-based customer support chatbot integrated in their current role, despite a 90-day notice period."
CAND_0009024,54,0.7921,"Measured background: background in faiss, pytorch spanning 5.2 years, including their work to built a content recommendation system serving 10m+ users."
CAND_0041611,55,0.7920,"Acceptable Staff Machine Learning Engineer with 6.4 years of experience, showing adjacent capabilities in nlp, weaviate, though services background and low responsiveness of 7%."
CAND_0075574,56,0.7919,"Adjacent background: a Machine Learning Engineer with 5.7 years of experience, who owned the ranking layer for an e-commerce search at Haptik, but a notice period of 60 days and services company background."
CAND_0058575,57,0.7913,"Alternative match showing adjacent skills in pinecone, pytorch from their work at Krutrim (5.8 yrs); note: a 90-day notice period."
CAND_0080766,58,0.7900,"Measured fit: features a basic track record as a Staff Machine Learning Engineer (8.8 yrs), having recently shipped the personalization infrastructure: the system that learns."
CAND_0015578,59,0.7896,"At Zoho, this candidate implemented a rag-based customer support chatbot integrated; they represent a potential AI Engineer with 5.4 years of experience; however, a 90-day notice."
CAND_0058688,60,0.7884,"Acceptable candidate: offers 6.7 years of experience as a AI Engineer, demonstrating basic adjacent skills in embeddings, milvus."
CAND_0054100,61,0.7851,"Potential profile: an experienced Junior ML Engineer (6.0 yrs) who built computer vision models for our products image in their current role, but a 60-day notice period."
CAND_0073504,62,0.7847,"Measured background: background in vector search, elasticsearch spanning 6.6 years, including their work to worked on customer-facing predictive modeling for an e-commerce; note: their 60-day notice and consulting background."
CAND_0042100,63,0.7831,"Acceptable Machine Learning Engineer with 7.3 years of experience, showing adjacent capabilities in pinecone, elasticsearch, despite a 90-day notice."
CAND_0005260,64,0.7827,"Adjacent background: a Senior NLP Engineer with 5.2 years of experience, who fine-tuned llama-2-7b and mistral-7b variants using lora at Netflix; however, a notice period of 60 days."
CAND_0068351,65,0.7827,"Alternative match showing adjacent skills in nlp, elasticsearch from their work at Sarvam AI (6.4 yrs)."
CAND_0092278,66,0.7809,"Measured fit: features a basic track record as a Senior NLP Engineer (6.8 yrs), having recently built and shipped a production recommendation system at a marketplace product, but their 90-day notice and a response rate of 7%."
CAND_0099751,67,0.7787,"At Observe.AI, this candidate built recommendation-style features at a mid-stage startup; they represent a potential Junior ML Engineer with 5.5 years of experience; note: a 120-day notice."
CAND_0046353,68,0.7769,"Acceptable candidate: offers 6.4 years of experience as a ML Engineer, demonstrating basic adjacent skills in nlp, vector search, despite a notice period of 120 days."
CAND_0098217,69,0.7762,Potential profile: an experienced ML Engineer (6.4 yrs) who built nlp pipelines for sentiment analysis and document in their current role.
CAND_0033445,70,0.7751,"Measured background: background in applied ML/retrieval spanning 6.8 years, including their work to built computer vision models for our products image."
CAND_0041016,71,0.7750,"Acceptable Junior ML Engineer with 5.2 years of experience, showing adjacent capabilities in milvus, but a 90-day notice and services background."
CAND_0024466,72,0.7716,"Adjacent background: a Search Engineer with 5.2 years of experience, who owned the ranking layer for an e-commerce search at PharmEasy; note: a notice period of 120 days."
CAND_0048660,73,0.7706,"Alternative match showing adjacent skills in faiss, pytorch from their work at Vedantu (5.2 yrs), despite a 60-day notice period and low responsiveness (32%)."
CAND_0018701,74,0.7704,"Measured fit: features a basic track record as a Junior ML Engineer (6.0 yrs), having recently contributed to ml feature engineering and model deployment; however, their 60-day notice."
CAND_0046525,75,0.7702,"At Genpact AI, this candidate led the migration from keyword-based to embedding-based search; they represent a potential Senior Machine Learning Engineer with 6.1 years of experience, though a 60-day notice and services background."
CAND_0010149,76,0.7698,"Acceptable candidate: offers 6.9 years of experience as a ML Engineer, demonstrating basic adjacent skills in vector search, milvus, but a notice period of 90 days and services company background."
CAND_0088354,77,0.7689,Potential profile: an experienced Junior ML Engineer (6.5 yrs) who built recommendation-style features at a mid-stage startup in their current role; note: a 120-day notice period.
CAND_0094759,78,0.7670,"Measured background: background in nlp, vector search spanning 8.6 years, including their work to led the migration from keyword-based to embedding-based search, despite a response rate of 11%."
CAND_0070202,79,0.7666,"Acceptable Machine Learning Engineer with 5.1 years of experience, showing adjacent capabilities in nlp, embeddings; however, a 90-day notice."
CAND_0039962,80,0.7662,"Adjacent background: a ML Engineer with 6.5 years of experience, who worked on time-series forecasting models for supply-chain demand at Paytm, though a notice period of 90 days."
CAND_0049540,81,0.7660,"Alternative match showing adjacent skills in applied ML/retrieval from their work at Saarthi.ai (6.8 yrs), but a 60-day notice period and service-firm history."
CAND_0022463,82,0.7658,"Measured fit: features a basic track record as a Junior ML Engineer (6.5 yrs), having recently worked on time-series forecasting models for supply-chain demand; note: their 120-day notice."
CAND_0074339,83,0.7658,"At Observe.AI, this candidate worked on customer-facing predictive modeling for an e-commerce; they represent a potential ML Engineer with 5.3 years of experience, despite a 120-day notice."
CAND_0006418,84,0.7643,"Acceptable candidate: offers 5.7 years of experience as a Machine Learning Engineer, demonstrating basic adjacent skills in embeddings, weaviate; however, a notice period of 60 days."
CAND_0070398,85,0.7640,"Potential profile: an experienced Machine Learning Engineer (7.2 yrs) who developed a semantic search feature for an internal in their current role, though a 120-day notice period and service-firm history."
CAND_0038949,86,0.7631,"Measured background: background in nlp, milvus spanning 6.4 years, including their work to worked on customer-facing predictive modeling for an e-commerce, but their 120-day notice and consulting background."
CAND_0099401,87,0.7631,"Acceptable NLP Engineer with 7.7 years of experience, showing adjacent capabilities in embeddings; note: a 90-day notice and services background."
CAND_0080291,88,0.7600,"Adjacent background: a Junior ML Engineer with 6.5 years of experience, who built computer vision models for our products image at Ola, despite a notice period of 90 days and services company background."
CAND_0086460,89,0.7587,"Alternative match showing adjacent skills in faiss from their work at Meesho (6.2 yrs); however, a 120-day notice period."
CAND_0043860,90,0.7582,"Measured fit: features a basic track record as a Junior ML Engineer (6.1 yrs), having recently built recommendation-style features at a mid-stage startup."
CAND_0003791,91,0.7571,"At Meesho, this candidate contributed to ml feature engineering and model deployment; they represent a potential ML Engineer with 6.6 years of experience."
CAND_0060072,92,0.7562,"Acceptable candidate: offers 5.7 years of experience as a Staff Machine Learning Engineer, demonstrating basic adjacent skills in embeddings, pinecone; note: a notice period of 90 days and a low response rate of 10%."
CAND_0025971,93,0.7558,"Potential profile: an experienced Junior ML Engineer (5.4 yrs) who worked on customer-facing predictive modeling for an e-commerce in their current role, despite a 120-day notice period and low responsiveness (34%)."
CAND_0096142,94,0.7558,"Measured background: background in nlp, pinecone spanning 5.0 years, including their work to trained and shipped multiple ranking models; however, their 120-day notice."
CAND_0093193,95,0.7549,"Acceptable Senior Machine Learning Engineer with 7.9 years of experience, showing adjacent capabilities in applied ML/retrieval."
CAND_0004131,96,0.7542,"Adjacent background: a Junior ML Engineer with 6.8 years of experience, who contributed to ml feature engineering and model deployment at Flipkart, but a notice period of 120 days."
CAND_0031397,97,0.7542,"Alternative match showing adjacent skills in embeddings, faiss from their work at Observe.AI (6.6 yrs); note: a 90-day notice period."
CAND_0049543,98,0.7531,"Measured fit: features a basic track record as a ML Engineer (6.1 yrs), having recently contributed to ml feature engineering and model deployment, despite their 60-day notice."
CAND_0012837,99,0.7527,"At Sarvam AI, this candidate worked on time-series forecasting models for supply-chain demand; they represent a potential Junior ML Engineer with 6.4 years of experience; however, a 60-day notice."
CAND_0032089,100,0.7518,"Acceptable candidate: offers 6.6 years of experience as a ML Engineer, demonstrating basic adjacent skills in pinecone, milvus, though services company background."
